映画名,ジャンル,評価,年代,監督名,俳優名
博士と彼女のセオリー,ロマンス,4.5,2014,ジェームズ・マーシュ,"エディ・レッドメイン, フェリシティ・ジョーンズ"
ウィンチェスターハウス,ホラー,4.4,2018,ピーター・スピエリッグ,"ヘレン・ミレン, ジェイソン・クラーク"
ゲットアウト,ホラー,4.8,2017,ジョーダン・ピール,"ダニエル・カルーヤ, アリソン・ウィリアムズ"
帰ってきたヒトラー,コメディ,4.4,2015,デヴィッド・ヴェンド,"オリヴァー・マスッチ, ファビアン・ブッシュ"
チャーチル/ヒトラーから世界,戦争,4.3,2017,ジョー・ライト,"ゲイリー・オールドマン, リリー・ジェームズ"
アイヒマンを追え!,史実,4.1,2015,ラース・クラウメ,"ブルクハルト・クラウスナー, ロナルト・ツェアフェルト"
オーシャンズ11,クライム,4.3,2001,スティーブン・ソダーバーグ,"ジョージ・クルーニー, ジュリア・ロバーツ"
オーシャンズ12,クライム,4.3,2004,スティーブン・ソダーバーグ,"ジョージ・クルーニー, ジュリア・ロバーツ"
オーシャンズ13,クライム,4.3,2007,スティーブン・ソダーバーグ,"ジョージ・クルーニー, ジュリア・ロバーツ"
オーシャンズ8,アクション,3.9,2018,ゲイリー・ロス,"サンドラ・ブロック, ケイト・ブランシェット"
ホビット/思いがけない冒険,ファンタジー,4.5,2012,ピーター・ジャクソン,"マーティン・フリーマン, イライジャ・ウッド"
ホビット/竜に奪われた王国,ファンタジー,4.5,2013,ピーター・ジャクソン,"マーティン・フリーマン, イライジャ・ウッド"
ホビット/決戦のゆくえ,ファンタジー,4.5,2014,ピーター・ジャクソン,"マーティン・フリーマン, リチャード・アーミティッジ"
トレインスポッティング,クライム,4.4,1996,ダニー・ボイル,"ユアン・マクレガー, ジョニー・リー・ミラー"
T2トレインスポッティング,クライム,3.9,2017,ダニー・ボイル,"ユアン・マクレガー, ジョニー・リー・ミラー"
ファンタビ/魔法使いの旅,ファンタジー,4.4,2016,デヴィッド・イェーツ,"エディ・レッドメイン, キャサリン・ウォーターストン"
ファンタビ/黒い魔法使いの誕生,ファンタジー,4.4,2018,デヴィッド・イェーツ,"エディ・レッドメイン, ジョニー・デップ"
きっと、うまくいく,コメディ,4.5,2009,ラージクマール・ヒラニ,"アーミル・カール, シャルマン・ジョーシー"
ゾディアック,スリラー,4.6,2007,デヴィッド・フィンチャー,"ジェイク・ギレンホール, ロバート・ダウニー・Jr"
黙秘,スリラー,4.6,1995,テイラー・ハックフォード,"キャシー・ベイツ, ジェニファー・ジェイソン・リー"
ノクターナル・アニマルズ,スリラー,4.5,2016,トム・フォード,"ジェイク・ギレンホール, マイケル・シャノン"
ハングマン,スリラー,4.5,2017,ジョニー・マーティン,"アル・パチーノ, カール・アーバン"
ボヘミアン・ラプソディ,ミュージカル,4.4,2018,ブライアン・シンガー,"ラミ・マレック, ベン・ハーディ"
ザ・ウォール,戦争,4.0,2017,ダグ・リーマン,"アーロン・テイラージョンソン, ジョン・シナ"
コードネームアンクル,アクション,4.4,2015,ガイ・リッチー,"アーミー・ハマー, ヘンリー・カヴィル"
バッド・ジーニアス,スリラー,4.5,2017,ナタウット・プーンピリヤ,"Chutimon, Chanon"
コールドアンドファイヤー,戦争,3.9,2016,オーレ・ポールネダル,"ピルウ・アスベック, ニコラス・ブロ"
ベンジャミンバトン,ロマンス,4.5,2008,デヴィッド・フィンチャー,"ブラッド・ピット, ケイト・ブランシェット"
最高の人生の作り方,ロマンス,3.9,2014,ロブ・ライナー,"マイケル・ダグラス, ダイアン・キートン"
トゥルーマンショー,コメディ,4.3,1998,ピーター・ウィアー,"ジム・キャリー, ローラ・リニー"
大脱出,アクション,4.4,2013,ミカエル・ハフストローム,"シルヴェスター・スタローン, アーノルド・シュワルツェネッガー"
大脱走,戦争,4.6,1963,ジョン・スタージェス,"スティーブン・マックイーン, ジェームズ・ガーナー"
十二人の怒れる男,スリラー,4.7,1957,シドニー・ルメット,"ヘンリー・フォンダ, リー・J・コップ"
十二人の死にたい子どもたち,ミステリー,4.4,2019,堤幸彦,"吉川愛, 新田真剣佑"
ジョーカー,クライム,4.4,2019,ドット・フィリップス,"ホアキン・フェニックス, ロバート・デニーロ"
シャーロック・ホームズ,アクション,4.4,2009,ガイ・リッチー,"ロバート・ダウニー・Jr, ジュード・ロウ"
シャーロック・ホームズ/シャドウ〜,アクション,4.4,2011,ガイ・リッチー,"ロバート・ダウニー・Jr, ジュード・ロウ"
完全なるチェックメイト,ドラマ,4.4,2014,エドワード・ズウィック,"トビー・マグワイア, リーヴ・シュレイバー"
ジャンゴ,西部劇,4.6,2012,クエンティン・タランティーノ,"クリストフ・ヴァルツ, ジェイミー・フォックス"
マイインターン,ドラマ,4.3,2015,ナンシー・マイヤーズ,"ロバート・デニーロ, アン・ハサウェイ"
アバウトタイム,ロマンス,4.1,2013,リチャード・カーティス,"レイチェル・マクアダムス, ドーナル・グリーソン"
プラトーン,戦争,4.3,1986,オリバー・ストーン,"ウィレム・デフォー, トム・ベレンジャー"
ギフテッド,ドラマ,4.4,2017,マーク・ウェブ,"マッケンナ・グレイス, クリス・エヴァンス"
月に囚われた男,SF,4.2,2009,ダンカン・ジョーンズ,"サム・ロックウェル, ケヴィン・スペイシー"
チェ39歳別れの手紙,戦争,4.3,2008,スティーブン・ソダーバーグ,"ベニチオ・デル・トロ, デミアン・ビチル"
砂上の法廷,スリラー,4.2,2016,コートニー・ハント,"キアヌ・リーブス, レネー・ゼルウィガー"
パラサイト,スリラー,4.9,2019,ポン・ジュノ,"イ・ソンギュン, チョ・ヨジョン, ソン・ガンホ"
サイコ,ホラー,4.6,1960,アルフレッド・ヒッチコック,"アンソニー・パーキンス, ジャネット・リー"
ファーゴ,クライム,4.4,1996,ジョエル・コーエン,"フランシス・マクドーマンド, スティーヴ・ブシェミ"
ミスト,SF,4.5,2007,フランク・ダラボン,"トーマス・ジェーン, ローリー・ホールデン"
ブルーマインド,ファンタジー,4.1,2018,リサ・ブリュールマン,"ルナ・ウェドラー, ゾエ・パステル・ホルトゥイゼン"
私が生きる肌,ホラー,4.4,2011,ペドロ・アルモドバル,"アントニオ・バンデラス, エレナ・アナヤ"
ハウンター,SF,4.3,2013,ヴィンチェンゾ・ナタリ,"アビゲイル・ブレスリン, エレノア・ジッチ"
ディバイナー,戦争,4.2,2014,ラッセル・クロウ,"オルガ・キュリレンコ, ジェイ・コートニー"
グエムル,SF,4.4,2006,ポン・ジュノ,"ソン・ガンホ, パク・ヘイル"
ルーシー,SF,4.4,2014,リュック・ベッソン,"スカーレット・ヨハンソン, モーガン・フリーマン"
それでも夜は明ける,ドラマ,4.4,2013,スティーブ・マックイーン,"キウェテル・イジョフォー, マイケル・ファスベンダー"
母なる証明,スリラー,4.4,2009,ポン・ジュノ,"ウォンビン, キム・ヘジャ"
スクリーム,ホラー,4.2,1996,ウェス・クレイブン,"ネーヴ・キャンベル, コートニー・コックス"
フェイク,クライム,4.4,1997,マイク・ニューウェル,"アル・パチーノ, ジョニー・デップ"
マンデラの名もなき看守,ドラマ,4.1,2007,ビレ・アウグスト,"ジョセフ・ファインズ, デニス・ヘイスバート"
ライ麦畑の反逆児,ドラマ,4.0,2017,ダニー・ストロング,"ニコラス・ホルト, ケヴィン・スペイシー"
地中海殺人事件,ミステリー,4.0,1982,ガイ・ハミルトン,"ピーター・ユスティノフ, マギー・スミス"
